match_no,inning_no,over_range,runs,run_rate,wickets,6s,4s,dot_count,balls_played
50,1,7-15,75,8.333333333333334,2,3,4,10,55
50,1,16-20,55,10.999999999999996,2,2,5,7,34
50,2,0-6,70,11.666666666666666,1,5,7,13,37
50,2,7-15,96,10.666666666666666,1,5,8,17,56
50,2,16-20,21,11.666666666666673,1,2,1,2,10
51,1,0-6,78,13.0,0,6,6,12,38
51,1,7-15,98,10.88888888888889,1,6,5,8,57
51,1,16-20,51,10.199999999999996,1,2,4,4,30
51,2,0-6,72,12.0,0,2,12,15,39
51,2,7-15,58,6.444444444444445,3,2,2,14,55
51,2,16-20,41,8.199999999999998,4,3,2,13,31
52,1,0-6,61,10.166666666666666,1,2,9,15,38
52,1,7-15,93,10.333333333333334,0,6,6,13,55
52,1,16-20,60,11.999999999999996,1,3,5,5,32
52,2,0-6,52,8.666666666666666,1,1,7,12,36
52,2,7-15,94,10.444444444444445,1,5,5,10,57
52,2,16-20,71,14.199999999999996,4,7,3,9,32
53,1,0-6,58,9.666666666666666,3,0,10,15,38
53,1,7-15,66,7.333333333333333,2,3,6,24,56
53,1,16-20,55,10.999999999999996,2,3,5,10,32
53,2,0-6,52,8.666666666666666,1,1,8,16,37
53,2,7-15,70,7.777777777777778,2,1,8,15,55
53,2,16-20,60,11.999999999999996,2,4,4,7,31
54,1,0-6,56,9.333333333333334,2,1,10,15,36
54,1,7-15,96,10.666666666666666,3,6,5,11,57
54,1,16-20,47,9.399999999999997,1,1,6,10,30
54,2,0-6,62,10.333333333333334,2,5,5,17,38
54,2,7-15,112,12.444444444444445,0,5,10,10,58
54,2,16-20,26,15.294117647058814,2,2,1,3,10
55,1,0-6,49,8.166666666666666,1,0,7,13,39
55,1,7-15,68,7.555555555555555,4,4,1,13,56
55,1,16-20,50,9.999999999999996,3,3,2,9,35
55,2,0-6,47,7.833333333333333,3,3,4,17,37
55,2,7-15,44,4.888888888888889,2,2,1,25,54
55,2,16-20,49,9.799999999999997,3,1,6,10,34
56,1,0-6,37,6.166666666666667,2,2,3,22,36
56,1,7-15,79,8.777777777777779,2,4,4,11,55
56,1,16-20,33,6.599999999999998,4,2,1,13,30
56,2,0-6,78,13.0,1,4,11,15,39
56,2,7-15,73,9.733333333333333,0,6,4,13,43
56,2,16-20,0,nan,0,0,0,0,0
57,1,0-6,61,10.166666666666666,0,3,7,15,36
57,1,7-15,90,10.0,3,5,8,17,54
57,1,16-20,67,13.399999999999995,2,4,7,7,30
57,2,0-6,48,8.0,3,0,8,14,36
57,2,7-15,82,9.11111111111111,5,5,5,15,55
57,2,16-20,61,12.199999999999996,0,7,3,15,32
58,1,0-6,56,9.333333333333334,2,0,10,15,38
58,1,7-15,74,8.222222222222221,3,3,6,17,54
58,1,16-20,52,10.399999999999997,1,5,2,12,31
58,2,0-6,30,5.0,1,0,4,20,37
58,2,7-15,84,9.333333333333334,1,3,7,11,57
58,2,16-20,71,15.434782608695654,1,7,4,5,27
59,1,0-6,46,7.666666666666667,3,2,5,22,39
59,1,7-15,71,7.888888888888889,1,4,3,18,57
59,1,16-20,50,9.999999999999996,3,2,5,9,31
59,2,0-6,65,10.833333333333334,0,1,11,11,36
59,2,7-15,50,5.555555555555555,6,1,6,30,56
59,2,16-20,21,4.199999999999998,2,0,0,10,31
60,1,0-6,42,7.0,0,1,3,10,38
60,1,7-15,78,8.666666666666666,2,3,5,13,56
60,1,16-20,51,10.199999999999996,3,3,4,8,30
60,2,0-6,28,4.666666666666667,5,1,3,24,38
60,2,7-15,31,6.5957446808510625,5,3,1,15,27
60,2,16-20,0,nan,0,0,0,0,0
61,1,0-6,52,8.666666666666666,1,1,6,11,36
61,1,7-15,40,4.444444444444445,4,1,0,21,54
61,1,16-20,52,10.399999999999997,1,3,1,8,35
61,2,0-6,46,7.666666666666667,3,2,4,17,39
61,2,7-15,71,7.888888888888889,0,2,7,17,55
61,2,16-20,30,8.108108108108105,1,0,2,6,24
62,1,0-6,65,10.833333333333334,1,0,10,15,40
62,1,7-15,89,9.88888888888889,1,1,9,10,57
62,1,16-20,34,6.799999999999997,7,0,3,8,31
62,2,0-6,45,7.5,4,2,4,18,37
62,2,7-15,66,7.333333333333333,3,2,5,19,56
62,2,16-20,43,8.599999999999996,2,1,5,10,32
63,1,0-6,35,5.833333333333333,2,2,1,19,36
63,1,7-15,73,8.11111111111111,1,3,1,12,57
63,1,16-20,69,13.799999999999995,0,6,4,6,32
63,2,0-6,58,9.666666666666666,0,4,3,11,39
63,2,7-15,67,7.444444444444445,3,0,9,21,56
63,2,16-20,47,9.399999999999997,2,3,0,12,35
64,1,0-6,61,10.166666666666666,0,3,7,14,37
64,1,7-15,87,9.666666666666666,2,4,8,17,56
64,1,16-20,65,12.999999999999995,0,4,5,5,32
64,2,0-6,47,7.833333333333333,1,2,6,19,36
64,2,7-15,80,8.88888888888889,2,3,6,12,55
64,2,16-20,70,13.999999999999995,5,7,2,14,33
65,1,0-6,49,8.166666666666666,2,1,8,18,37
65,1,7-15,84,9.333333333333334,1,4,4,10,55
65,1,16-20,53,10.599999999999996,2,3,3,5,32
65,2,0-6,64,10.666666666666666,0,1,10,10,37
65,2,7-15,86,9.555555555555555,0,3,8,14,56
65,2,16-20,37,8.043478260869566,2,2,2,9,28
66,1,0-6,48,8.0,3,2,6,19,38
66,1,7-15,69,7.666666666666667,2,3,4,19,57
66,1,16-20,70,13.999999999999995,0,4,7,4,31
66,2,0-6,57,9.5,1,2,8,16,37
66,2,7-15,84,9.333333333333334,3,4,6,16,58
66,2,16-20,48,10.000000000000002,2,3,4,12,31
67,1,0-6,52,8.666666666666666,0,2,6,13,37
67,1,7-15,96,10.666666666666666,1,7,5,11,55
67,1,16-20,75,14.999999999999995,2,5,6,7,37
67,2,0-6,34,5.666666666666667,3,2,3,22,36
67,2,7-15,82,9.11111111111111,2,4,5,14,58
67,2,16-20,30,5.999999999999998,4,0,3,13,33
68,1,0-6,54,9.0,1,2,6,15,37
68,1,7-15,65,7.222222222222222,4,4,4,24,55
68,1,16-20,57,11.399999999999997,3,4,3,8,35
68,2,0-6,61,10.166666666666666,1,2,9,14,37
68,2,7-15,53,5.888888888888889,3,0,4,19,55
68,2,16-20,61,12.199999999999996,3,5,4,11,33
69,1,0-6,53,8.833333333333334,0,0,9,12,38
69,1,7-15,104,11.555555555555555,1,5,9,10,57
69,1,16-20,43,8.599999999999996,4,2,2,7,31
69,2,0-6,60,10.0,1,2,7,15,37
69,2,7-15,100,11.11111111111111,1,5,8,14,57
69,2,16-20,41,13.666666666666659,0,1,6,2,19
70,1,0-6,62,10.333333333333334,0,0,11,11,37
70,1,7-15,73,8.11111111111111,5,1,8,16,57
70,1,16-20,61,12.199999999999996,0,2,6,1,31
70,2,0-6,51,8.5,1,1,8,17,37
70,2,7-15,97,10.777777777777779,1,5,8,12,55
70,2,16-20,50,11.111111111111107,2,4,1,7,31
71,1,0-6,49,8.166666666666666,0,1,6,17,37
71,1,7-15,76,8.444444444444445,3,1,6,10,54
71,1,16-20,47,9.399999999999997,4,2,2,5,31
71,2,0-6,41,6.833333333333333,2,1,5,15,36
71,2,7-15,61,6.777777777777778,4,1,3,21,61
71,2,16-20,55,10.999999999999996,4,3,5,12,35
72,1,0-6,62,10.333333333333334,2,2,10,16,36
72,1,7-15,69,7.666666666666667,2,3,3,13,55
72,1,16-20,51,10.199999999999996,4,3,4,13,35
72,2,0-6,54,9.0,2,1,7,15,37
72,2,7-15,46,5.111111111111111,7,1,3,24,56
72,2,16-20,1,0.5882352941176467,1,0,0,8,9
73,1,0-6,50,8.333333333333334,0,1,6,13,37
73,1,7-15,115,12.777777777777779,1,10,4,7,55
73,1,16-20,67,13.399999999999995,2,2,7,6,35
73,2,0-6,72,12.0,3,3,10,12,37
73,2,7-15,84,9.333333333333334,3,4,6,18,57
73,2,16-20,15,4.166666666666667,4,0,1,9,21
74,1,0-6,62,10.333333333333334,0,1,9,9,36
74,1,7-15,81,9.0,2,3,5,11,56
74,1,16-20,71,14.199999999999996,2,5,6,5,30
74,2,0-6,72,12.0,0,3,7,7,38
74,2,7-15,99,11.0,5,7,4,11,56
74,2,16-20,0,nan,0,0,0,0,0
